界面名称,资源名称,类型,建议尺寸,用途/说明,目标文件名,存放路径,备注
GameView,Background,图片,1920x1080,主玩法背景,game_bg.png,assets/app-bundle/app-view/,水墨风棋盘底图
GameView,TopBar_Bg,图片,1080x120,顶部信息栏,game_topbar_bg.png,assets/app-bundle/app-view/,与整体风格协调
GameView,Panda,图片/角色,256x256,熊猫形象,panda_game.png,assets/app-bundle/app-view/,可静态后续可加动画
GameView,StatusLabel,无,无,熊猫状态文本,无,无,使用字体即可
GameView,FiveBar_Bg,图片,400x40,五行能量条背景,fivebar_bg.png,assets/app-bundle/app-view/,五行能量指示器
GameView,FiveBar_Fill_Wood,图片,80x40,木能量条填充,fivebar_wood.png,assets/app-bundle/app-view/,绿色
GameView,FiveBar_Fill_Fire,图片,80x40,火能量条填充,fivebar_fire.png,assets/app-bundle/app-view/,红色
GameView,FiveBar_Fill_Earth,图片,80x40,土能量条填充,fivebar_earth.png,assets/app-bundle/app-view/,黄色
GameView,FiveBar_Fill_Metal,图片,80x40,金能量条填充,fivebar_metal.png,assets/app-bundle/app-view/,金色
GameView,FiveBar_Fill_Water,图片,80x40,水能量条填充,fivebar_water.png,assets/app-bundle/app-view/,蓝色
GameView,GoalLabel,无,无,关卡目标文本,无,无,使用字体即可
GameView,StepLabel,无,无,步数/分数文本,无,无,使用字体即可
GameView,PauseBtn,图片,80x80,暂停按钮,pause_btn.png,assets/app-bundle/app-view/,顶部栏
GameView,BoardBg,图片,800x800,棋盘背景,board_bg.png,assets/app-bundle/app-view/,8x8或10x10
GameView,GridCell,图片,80x80,棋盘格子,grid_cell.png,assets/app-bundle/app-view/,动态生成
GameView,Block_Wood,图片,80x80,木方块,block_wood.png,assets/app-bundle/app-view/,绿色
GameView,Block_Fire,图片,80x80,火方块,block_fire.png,assets/app-bundle/app-view/,红色
GameView,Block_Earth,图片,80x80,土方块,block_earth.png,assets/app-bundle/app-view/,黄色
GameView,Block_Metal,图片,80x80,金方块,block_metal.png,assets/app-bundle/app-view/,金色
GameView,Block_Water,图片,80x80,水方块,block_water.png,assets/app-bundle/app-view/,蓝色
GameView,BlockGroup_Bg,图片,320x120,待选块组背景,blockgroup_bg.png,assets/app-bundle/app-view/,底部区域
GameView,ToolBar_Bg,图片,800x120,道具栏背景,toolbar_bg.png,assets/app-bundle/app-view/,底部区域
GameView,ToolBtn1,图片,100x100,道具按钮1,toolbtn1.png,assets/app-bundle/app-view/,如乾坤挪移
GameView,ToolBtn2,图片,100x100,道具按钮2,toolbtn2.png,assets/app-bundle/app-view/,如点石成金
GameView,ToolBtn3,图片,100x100,道具按钮3,toolbtn3.png,assets/app-bundle/app-view/,如排山倒海 
