界面名称,资源名称,类型,建议尺寸,用途/说明,目标文件名,存放路径,备注
LoadingView,Logo,图片/艺术字,512x128,游戏Logo,logo.png,assets/app-appinit/view/,可用input/loading.png风格
LoadingView,Panda,图片/角色,256x256,熊猫形象,panda.png,assets/app-appinit/view/,可静态后续可加动画
LoadingView,ProgressBar_Bg,图片,400x32,进度条背景,progressbar_bg.png,assets/app-appinit/view/,与整体风格协调
LoadingView,ProgressBar_Fill,图片,400x32,进度条填充,progressbar_fill.png,assets/app-appinit/view/,可用墨色/绿色/金色
LoadingView,TipLabel,无,无,加载提示文本,无,无,使用字体即可
LoadingView,TipsArea_Bg,图片,400x60,小贴士区域背景,tipsarea_bg.png,assets/app-appinit/view/,可选
LoadingView,TipsArea_Icon,图片,32x32,小贴士前缀图标,tipsarea_icon.png,assets/app-appinit/view/,可选
LoadingView,Background,图片,1080x1920,整体背景,background.png,assets/app-appinit/view/,淡雅水墨风
LoadingView,装饰_竹叶,图片,64x128,装饰元素,decor_leaf.png,assets/app-appinit/view/,可选

节点名,父节点,类型,组件,资源,属性,备注
LoadingView,,Node,,,"{width:1080,height:1920,anchorX:0.5,anchorY:0.5,x:0,y:0}",加载页根节点
Background,LoadingView,Sprite,,background.png,"{x:0,y:0,width:1080,height:1920,anchorX:0.5,anchorY:0.5}",整体背景
Logo,LoadingView,Sprite,,logo.png,"{x:0,y:600,width:512,height:128,anchorX:0.5,anchorY:0.5}",游戏Logo
Panda,LoadingView,Sprite,,panda.png,"{x:0,y:400,width:256,height:256,anchorX:0.5,anchorY:0.5}",熊猫形象
ProgressBar_Bg,LoadingView,Sprite,,progressbar_bg.png,"{x:0,y:-200,width:400,height:32,anchorX:0.5,anchorY:0.5}",进度条背景
ProgressBar_Fill,ProgressBar_Bg,Sprite,,progressbar_fill.png,"{x:0,y:0,width:400,height:32,anchorX:0.0,anchorY:0.5}",进度条填充
TipLabel,LoadingView,Label,,,"{x:0,y:-260,width:600,height:40,anchorX:0.5,anchorY:0.5}",加载提示文本
TipsArea_Bg,LoadingView,Sprite,,tipsarea_bg.png,"{x:0,y:-400,width:400,height:60,anchorX:0.5,anchorY:0.5}",小贴士区域背景
TipsArea_Icon,TipsArea_Bg,Sprite,,tipsarea_icon.png,"{x:-170,y:0,width:32,height:32,anchorX:0.5,anchorY:0.5}",小贴士前缀图标
装饰_竹叶,LoadingView,Sprite,,decor_leaf.png,"{x:400,y:800,width:64,height:128,anchorX:0.5,anchorY:0.5}",装饰元素 
