界面名称,资源名称,类型,建议尺寸,用途/说明,目标文件名,存放路径,备注
MapView,Background,图片,1920x1080,地图背景,map_bg.png,assets/app-bundle/app-view/,水墨风画卷
MapView,TopBar_Bg,图片,800x80,顶部栏背景,map_topbar_bg.png,assets/app-bundle/app-view/,与整体风格协调
MapView,BackBtn,图片,80x80,返回按钮,back_btn.png,assets/app-bundle/app-view/,顶部栏
MapView,AreaTitle,无,无,区域标题文本,无,无,使用字体即可
MapView,LevelNode,图片,96x96,关卡节点基础图标,level_node.png,assets/app-bundle/app-view/,可复用
MapView,LevelNode_Locked,图片,96x96,未解锁关卡节点,level_node_locked.png,assets/app-bundle/app-view/,可选
MapView,LevelNode_Star,图片,32x32,关卡星级图标,level_star.png,assets/app-bundle/app-view/,可复用
MapView,PlayerMarker,图片,64x64,玩家当前位置标记,player_marker.png,assets/app-bundle/app-view/,如小熊猫头像
MapView,ScrollBar,图片,24x240,地图滚动条,scrollbar.png,assets/app-bundle/app-view/,可选
MapView,LevelInfoPopup_Bg,图片,600x400,关卡信息弹窗背景,levelinfo_bg.png,assets/app-bundle/app-view/,可选
MapView,LevelInfo_StartBtn,图片,240x80,弹窗开始按钮,levelinfo_start_btn.png,assets/app-bundle/app-view/,可选
MapView,LevelInfo_CloseBtn,图片,64x64,弹窗关闭按钮,levelinfo_close_btn.png,assets/app-bundle/app-view/,可选
MapView,LevelInfo_Title,无,无,弹窗关卡标题文本,无,无,使用字体即可
MapView,LevelInfo_Target,无,无,弹窗关卡目标文本,无,无,使用字体即可
MapView,LevelInfo_Reward,无,无,弹窗奖励文本,无,无,使用字体即可

节点名,父节点,类型,组件,资源,属性,备注
MapView,,Node,,,"{width:1920,height:1080,anchorX:0.5,anchorY:0.5,x:0,y:0}",地图页根节点
Background,MapView,Sprite,,map_bg.png,"{x:0,y:0,width:1920,height:1080,anchorX:0.5,anchorY:0.5}",地图背景
TopBar_Bg,MapView,Sprite,,map_topbar_bg.png,"{x:0,y:500,width:800,height:80,anchorX:0.5,anchorY:0.5}",顶部栏背景
BackBtn,TopBar_Bg,Button,Button,back_btn.png,"{x:-350,y:0,width:80,height:80,anchorX:0.5,anchorY:0.5}",返回按钮
AreaTitle,TopBar_Bg,Label,,,"{x:0,y:0,width:200,height:40,anchorX:0.5,anchorY:0.5}",区域标题文本
LevelNodeGroup,MapView,Node,,,"{x:0,y:0,width:1600,height:800,anchorX:0.5,anchorY:0.5}",关卡节点容器(动态生成)
LevelNode,LevelNodeGroup,Sprite,,level_node.png,"{width:96,height:96,anchorX:0.5,anchorY:0.5}",关卡节点基础图标(动态)
LevelNode_Locked,LevelNodeGroup,Sprite,,level_node_locked.png,"{width:96,height:96,anchorX:0.5,anchorY:0.5}",未解锁关卡节点(动态)
LevelNode_Star,LevelNodeGroup,Sprite,,level_star.png,"{width:32,height:32,anchorX:0.5,anchorY:0.5}",关卡星级图标(动态)
PlayerMarker,MapView,Sprite,,player_marker.png,"{x:0,y:0,width:64,height:64,anchorX:0.5,anchorY:0.5}",玩家当前位置标记
ScrollBar,MapView,Sprite,,scrollbar.png,"{x:900,y:0,width:24,height:240,anchorX:0.5,anchorY:0.5}",地图滚动条
LevelInfoPopup,MapView,Node,,,"{x:0,y:0,width:600,height:400,anchorX:0.5,anchorY:0.5,visible:false}",关卡信息弹窗
LevelInfoPopup_Bg,LevelInfoPopup,Sprite,,levelinfo_bg.png,"{x:0,y:0,width:600,height:400,anchorX:0.5,anchorY:0.5}",弹窗背景
LevelInfo_StartBtn,LevelInfoPopup,Button,Button,levelinfo_start_btn.png,"{x:0,y:-120,width:240,height:80,anchorX:0.5,anchorY:0.5}",弹窗开始按钮
LevelInfo_CloseBtn,LevelInfoPopup,Button,Button,levelinfo_close_btn.png,"{x:250,y:150,width:64,height:64,anchorX:0.5,anchorY:0.5}",弹窗关闭按钮
LevelInfo_Title,LevelInfoPopup,Label,,,"{x:0,y:120,width:200,height:40,anchorX:0.5,anchorY:0.5}",弹窗关卡标题文本
LevelInfo_Target,LevelInfoPopup,Label,,,"{x:0,y:60,width:200,height:40,anchorX:0.5,anchorY:0.5}",弹窗关卡目标文本
LevelInfo_Reward,LevelInfoPopup,Label,,,"{x:0,y:0,width:200,height:40,anchorX:0.5,anchorY:0.5}",弹窗奖励文本 
