节点名,父节点,类型,组件,资源,属性,备注
MapView,,Node,,,"{width:1920,height:1080}",地图页根节点
Background,MapView,Sprite,,map_bg.png,,地图背景
TopBar,MapView,Node,,,"{layout:'horizontal'}",顶部栏
TopBar_Bg,TopBar,Sprite,,map_topbar_bg.png,,顶部栏背景
BackBtn,TopBar,Button,Button,back_btn.png,"{width:80,height:80}",返回按钮
AreaTitle,TopBar,Label,,,"{fontSize:32,align:'center'}",区域标题文本
MapScroll,MapView,Node,,,"{layout:'vertical'}",地图滚动容器
LevelNode,MapScroll,Sprite,,level_node.png,"{width:96,height:96}",关卡节点基础图标
LevelNode_Locked,MapScroll,Sprite,,level_node_locked.png,"{width:96,height:96}",未解锁关卡节点
LevelNode_Star,MapScroll,Sprite,,level_star.png,"{width:32,height:32}",关卡星级图标
PlayerMarker,MapScroll,Sprite,,player_marker.png,"{width:64,height:64}",玩家当前位置标记
ScrollBar,MapView,Sprite,,scrollbar.png,"{width:24,height:240}",地图滚动条
LevelInfoPopup,MapView,Node,,,"{layout:'vertical'}",关卡信息弹窗
LevelInfoPopup_Bg,LevelInfoPopup,Sprite,,levelinfo_bg.png,"{width:600,height:400}",弹窗背景
LevelInfo_StartBtn,LevelInfoPopup,Button,Button,levelinfo_start_btn.png,"{width:240,height:80}",弹窗开始按钮
LevelInfo_CloseBtn,LevelInfoPopup,Button,Button,levelinfo_close_btn.png,"{width:64,height:64}",弹窗关闭按钮
LevelInfo_Title,LevelInfoPopup,Label,,,"{fontSize:28,align:'center'}",弹窗关卡标题文本
LevelInfo_Target,LevelInfoPopup,Label,,,"{fontSize:24}",弹窗关卡目标文本
LevelInfo_Reward,LevelInfoPopup,Label,,,"{fontSize:24}",弹窗奖励文本 
