资源名称,类型,尺寸,目标文件名,建议存放路径,用途说明
胜利背景,图片,1920x1080,victory_bg.png,assets/res-bundle/victory,胜利页半透明/水墨背景
胜利标题,图片,600x120,victory_title.png,assets/res-bundle/victory,大字"胜利"艺术字
熊猫庆祝动画,Spine/帧动画,400x400,panda_victory.skel/panda_victory.png,assets/res-bundle/victory,熊猫胜利动画
星级图标,图片,64x64,star.png,assets/res-bundle/victory,星级评价
高亮星级图标,图片,64x64,star_active.png,assets/res-bundle/victory,点亮星级
分数图标,图片,48x48,score_icon.png,assets/res-bundle/victory,分数统计
能量条图标,图片,48x48,energy_icon.png,assets/res-bundle/victory,五行能量统计
奖励货币图标,图片,48x48,coin.png,assets/res-bundle/victory,奖励展示
奖励道具图标,图片,48x48,item.png,assets/res-bundle/victory,奖励展示
继续按钮,图片,200x80,btn_continue.png,assets/res-bundle/victory,继续/下一关按钮
重玩按钮,图片,200x80,btn_retry.png,assets/res-bundle/victory,重玩按钮
返回按钮,图片,200x80,btn_back.png,assets/res-bundle/victory,返回主页/地图按钮

节点名,父节点,类型,组件,资源,属性,备注
VictoryView,,Node,,,"{width:1920,height:1080,anchorX:0.5,anchorY:0.5,x:0,y:0}",结算页根节点
BgMask,VictoryView,Sprite,,victory_bg.png,"{x:0,y:0,width:1920,height:1080,anchorX:0.5,anchorY:0.5,opacity:180}",全屏半透明背景
Panel,VictoryView,Node,,,"{x:0,y:0,width:1200,height:900,anchorX:0.5,anchorY:0.5}",主内容面板
Title,Panel,Sprite,,victory_title.png,"{x:0,y:350,width:600,height:120,anchorX:0.5,anchorY:0.5}",胜利标题
PandaAnim,Panel,Node,,panda_victory.skel/panda_victory.png,"{x:0,y:200,width:400,height:400,anchorX:0.5,anchorY:0.5}",熊猫庆祝动画
StarGroup,Panel,Node,,,"{x:0,y:100,width:300,height:64,anchorX:0.5,anchorY:0.5,layout:'horizontal'}",星级评价
Star1,StarGroup,Sprite,,star.png,"{x:-100,y:0,width:64,height:64,anchorX:0.5,anchorY:0.5}",星级1
Star2,StarGroup,Sprite,,star.png,"{x:0,y:0,width:64,height:64,anchorX:0.5,anchorY:0.5}",星级2
Star3,StarGroup,Sprite,,star.png,"{x:100,y:0,width:64,height:64,anchorX:0.5,anchorY:0.5}",星级3
ScoreInfo,Panel,Node,,,"{x:0,y:-20,width:400,height:120,anchorX:0.5,anchorY:0.5,layout:'vertical'}",分数/能量统计
ScoreIcon,ScoreInfo,Sprite,,score_icon.png,"{x:-80,y:40,width:48,height:48,anchorX:0.5,anchorY:0.5}",分数图标
ScoreLabel,ScoreInfo,Label,,,"{x:0,y:40,width:100,height:40,anchorX:0.5,anchorY:0.5}",分数字
EnergyIcon,ScoreInfo,Sprite,,energy_icon.png,"{x:-80,y:-40,width:48,height:48,anchorX:0.5,anchorY:0.5}",能量条图标
EnergyLabel,ScoreInfo,Label,,,"{x:0,y:-40,width:100,height:40,anchorX:0.5,anchorY:0.5}",五行能量统计
RewardGroup,Panel,Node,,,"{x:0,y:-120,width:400,height:80,anchorX:0.5,anchorY:0.5,layout:'horizontal'}",奖励展示
RewardItem1,RewardGroup,Node,,coin.png,"{x:-100,y:0,width:80,height:80,anchorX:0.5,anchorY:0.5}",奖励1
RewardItem2,RewardGroup,Node,,item.png,"{x:0,y:0,width:80,height:80,anchorX:0.5,anchorY:0.5}",奖励2
RewardItem3,RewardGroup,Node,,item.png,"{x:100,y:0,width:80,height:80,anchorX:0.5,anchorY:0.5}",奖励3
BtnContinue,Panel,Button,Button,btn_continue.png,"{x:-200,y:-300,width:200,height:80,anchorX:0.5,anchorY:0.5}",继续按钮
BtnRetry,Panel,Button,Button,btn_retry.png,"{x:0,y:-300,width:200,height:80,anchorX:0.5,anchorY:0.5}",重玩按钮
BtnBack,Panel,Button,Button,btn_back.png,"{x:200,y:-300,width:200,height:80,anchorX:0.5,anchorY:0.5}",返回主页/地图 
