节点名,父节点,类型,组件,资源,属性,备注
VictoryView,,Node,,,"{width:1920,height:1080}",结算页根节点
BgMask,VictoryView,Sprite,,victory_bg.png,"{opacity:180}",全屏半透明背景
Panel,VictoryView,Node,,,"{layout:'vertical'}",主内容面板
Title,Panel,Label,,victory_title.png,"{fontSize:64,align:'center'}",胜利标题
PandaAnim,Panel,Prefab,Spine,panda_victory.skel/panda_victory.png,,熊猫庆祝动画
StarGroup,Panel,Node,,,"{layout:'horizontal'}",星级评价容器
Star1,StarGroup,Sprite,,star.png,"{state:'normal'}",星级1
Star2,StarGroup,Sprite,,star.png,"{state:'normal'}",星级2
Star3,StarGroup,Sprite,,star.png,"{state:'normal'}",星级3
ScoreInfo,Panel,Node,,,"{layout:'vertical'}",分数与能量统计区
ScoreIcon,ScoreInfo,Sprite,,score_icon.png,,分数图标
ScoreLabel,ScoreInfo,Label,,,"{fontSize:32}",分数字
EnergyIcon,ScoreInfo,Sprite,,energy_icon.png,,能量条图标
EnergyLabel,ScoreInfo,Label,,,"{fontSize:32}",五行能量统计
RewardGroup,Panel,Node,,,"{layout:'horizontal'}",奖励展示区
RewardItem1,RewardGroup,Node,,coin.png,,奖励货币
RewardItem2,RewardGroup,Node,,item.png,,奖励道具
BtnContinue,Panel,Button,Button,btn_continue.png,"{width:200,height:80}",继续/下一关按钮
BtnRetry,Panel,Button,Button,btn_retry.png,"{width:200,height:80}",重玩按钮
BtnBack,Panel,Button,Button,btn_back.png,"{width:200,height:80}",返回主页/地图按钮 
